Name,City,State,Enrollment,Type,Region,Adm_Rate,ACT_median,Cost,Net_Tuition,Avg_Fac_Salary,PercentFemale,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,FourYearComp_Males,FourYearComp_Females,Debt_median,Salary10yr_median
Abilene Christian University,Abilene,TX,3524,Private,South West,0.5696,24,48046,16177,69804,0.611820013,0.794599991,0.081400003,0.163500004,0.028699999,0.411575563,0.528301887,16000,43000
Academy of Art University,San Francisco,CA,6898,Private,Far West,NA,NA,39735,31908,76428,0.573198198,0.679100037,0.0825,0.153400002,0.119099998,0.091572123,0.132522407,12877,38600
Adelphi University,Garden City,NY,5307,Private,Mid East,0.7418,25,49008,24971,111339,0.721112077,0.666900024,0.178500004,0.129200001,0.0673,0.611464968,0.699885452,19500,58500
Adrian College,Adrian,MI,1781,Private,Great Lakes,0.6481,23,51626,14136,72873,0.422110553,0.886100006,0.069200001,0.031800001,0.0121,0.232091691,0.331983806,18468,38600
AdventHealth University,Orlando,FL,1166,Private,South East,0.8689,20,24338,15360,69759,0.825105783,0.762200012,0.139499998,0.133800001,0.025899999,0.476190476,0.41322314,16646,56000
Agnes Scott College,Decatur,GA,966,Private,South East,0.704,NA,52309,13239,82647,NA,0.688399963,0.229899998,0.066500001,0.0321,NA,NA,22450,39400
AI Miami International University of Art and Design,Miami,FL,1290,Private,South East,NA,NA,25650,10071,46746,0.571803853,0.754800034,0.1471,0.328499985,0.021500001,0.205110962,0.286401925,13000,31600
Alabama A & M University,Normal,AL,4990,Public,South East,0.8986,18,22489,7413,63909,0.564030132,0.468400002,0.479799995,0.0379,0.0148,0.147157191,0.23136646,15000,31000
Alabama State University,Montgomery,AL,3903,Public,South East,0.9774,18,21476,10160,69786,0.61341853,0.426899986,0.523199997,0.040900002,0.0141,0.128205128,0.267921147,18950,27700
Albany College of Pharmacy and Health Sciences,Albany,NY,857,Private,Mid East,0.7189,26,47221,24852,84078,0.603174603,0.877900009,0.050900002,0.0498,0.031300001,0.638461538,0.686170213,25000,124700
Albertus Magnus College,New Haven,CT,1113,Private,New England,0.5807,18,47496,12493,65700,0.694684796,0.719499969,0.1675,0.120900002,0.027,0.519230769,0.54,23944,51200
Albion College,Albion,MI,1512,Private,Great Lakes,0.6824,23,56722,12849,67968,0.495762712,0.880899963,0.069299998,0.0299,0.0166,0.6,0.634920635,16721,47400
Albright College,Reading,PA,1897,Private,Mid East,0.62,NA,57415,14336,59724,0.625887924,0.843499985,0.086099997,0.063299999,0.0224,0.456603774,0.521390374,23734,46700
Alcorn State University,Alcorn State,MS,3106,Public,South East,0.8931,20,23966,2668,61164,0.621548457,0.402099991,0.571800003,0.021400001,0.0078,0.180592992,0.282952548,20037,31100
Alderson Broaddus University,Philippi,WV,823,Private,South East,0.4253,20,38879,12234,45261,0.431677019,0.940500031,0.026500001,0.023,0.0097,0.279569892,0.48951049,14000,40400
Alfred University,Alfred,NY,1591,Private,Mid East,0.6269,24,43294,8778,58410,0.463882619,0.887799988,0.056799998,0.041399999,0.0202,0.5,0.642335766,19500,41400
Alice Lloyd College,Pippa Passes,KY,644,Private,South East,0.2778,21,24564,8647,44928,0.572649573,0.976200027,0.0125,0.0078,0.0024,0.260869565,0.391666667,8250,31700
