Country,Region,Happiness,GDP,logGDP,HLE,Social,Freedom,Generosity,Corruption,GDP_1k
Finland,Western Europe,7.842,47810.47324388286,10.775,72,0.954,0.949,-0.098,0.186,47.81047324388286
Denmark,Western Europe,7.62,55994.010016211105,10.933,72.7,0.954,0.946,0.03,0.179,55.99401001621111
Switzerland,Western Europe,7.571,67305.68603809862,11.117,74.4,0.942,0.919,0.025,0.292,67.30568603809861
Iceland,Western Europe,7.554,52997.49885470244,10.878,73,0.983,0.955,0.16,0.673,52.99749885470244
Netherlands,Western Europe,7.464,55938.043993869935,10.932,72.4,0.942,0.913,0.175,0.338,55.93804399386993
Norway,Western Europe,7.392,63133.07000058211,11.053,73.3,0.954,0.96,0.093,0.27,63.133070000582116
Sweden,Western Europe,7.363,52417.72099162932,10.867,72.7,0.934,0.945,0.086,0.237,52.417720991629324
Luxembourg,Western Europe,7.324,114347.80456386216,11.647,72.6,0.908,0.907,-0.034,0.386,114.34780456386216
New Zealand,North America and ANZ,7.277,41898.27769776007,10.643,73.4,0.948,0.929,0.134,0.242,41.89827769776007
Austria,Western Europe,7.268,54502.399107305435,10.906,73.3,0.934,0.908,0.042,0.481,54.502399107305436
Australia,North America and ANZ,7.183,48825.10957587918,10.796,73.9,0.94,0.914,0.159,0.442,48.825109575879175
Israel,Middle East and North Africa,7.157,39143.90476397888,10.575,73.503,0.939,0.8,0.031,0.753,39.143904763978874
Germany,Western Europe,7.155,52733.17272642878,10.873,72.5,0.903,0.875,0.011,0.46,52.733172726428776
Canada,North America and ANZ,7.103,47858.307630333744,10.776,73.8,0.926,0.915,0.089,0.415,47.85830763033374
Ireland,Western Europe,7.085,84288.43955438846,11.342,72.4,0.947,0.879,0.077,0.363,84.28843955438846
Costa Rica,Latin America and Caribbean,7.069,19535.72266206552,9.88,71.4,0.891,0.934,-0.126,0.809,19.53572266206552
United Kingdom,Western Europe,7.064,44667.43537478072,10.707,72.5,0.934,0.859,0.233,0.459,44.667435374780716
Czech Republic,Central and Eastern Europe,6.965,38407.191512013924,10.556,70.807,0.947,0.858,-0.208,0.868,38.407191512013924
United States,North America and ANZ,6.951,61267.20580127015,11.023,68.2,0.92,0.837,0.098,0.698,61.26720580127015
Belgium,Western Europe,6.834,50161.34554465765,10.823,72.199,0.906,0.783,-0.153,0.646,50.16134554465765
France,Western Europe,6.69,44533.633871262755,10.704,74,0.942,0.822,-0.147,0.571,44.53363387126276
Bahrain,Middle East and North Africa,6.647,43001.91807172273,10.669,69.495,0.862,0.925,0.089,0.722,43.00191807172273
Malta,Western Europe,6.602,43217.466083051455,10.674,72.2,0.931,0.927,0.133,0.653,43.217466083051455
Taiwan Province of China,East Asia,6.584,52627.811777045674,10.871,69.6,0.898,0.784,-0.07,0.721,52.62781177704567
United Arab Emirates,Middle East and North Africa,6.561,65185.999939254456,11.085,67.333,0.844,0.932,0.074,0.589,65.18599993925446
Saudi Arabia,Middle East and North Africa,6.494,46304.75802902191,10.743,66.603,0.891,0.877,-0.149,0.684,46.30475802902191
Spain,Western Europe,6.491,38987.64187904331,10.571,74.7,0.932,0.761,-0.081,0.745,38.98764187904331
Italy,Western Europe,6.483,41068.636213182384,10.623,73.8,0.88,0.693,-0.084,0.866,41.06863621318239
Slovenia,Central and Eastern Europe,6.461,37384.07161359687,10.529,71.4,0.948,0.949,-0.101,0.806,37.384071613596866
Guatemala,Latin America and Caribbean,6.435,8544.131910125676,9.053,64.958,0.813,0.906,-0.038,0.775,8.544131910125676
Uruguay,Latin America and Caribbean,6.431,21290.154185132888,9.966,69.1,0.925,0.896,-0.092,0.59,21.290154185132888
Singapore,Southeast Asia,6.377,97538.26094908819,11.488,76.953,0.915,0.927,-0.018,0.082,97.53826094908818
Kosovo,Central and Eastern Europe,6.372,11136.686192794194,9.318,63.813,0.821,0.869,0.257,0.917,11.136686192794194
Slovakia,Central and Eastern Europe,6.331,31856.604431794618,10.369,69.201,0.936,0.766,-0.124,0.911,31.85660443179462
Brazil,Latin America and Caribbean,6.33,14429.06710514594,9.577,66.601,0.882,0.804,-0.071,0.756,14.42906710514594
Mexico,Latin America and Caribbean,6.317,19129.75011726391,9.859,68.597,0.831,0.862,-0.147,0.799,19.12975011726391
Jamaica,Latin America and Caribbean,6.309,9759.534660079984,9.186,67.5,0.877,0.89,-0.137,0.884,9.759534660079984
Lithuania,Central and Eastern Europe,6.255,36279.205323272676,10.499,67.906,0.935,0.773,-0.203,0.826,36.27920532327268
Cyprus,Western Europe,6.223,39183.0682472209,10.576,73.898,0.802,0.763,-0.015,0.844,39.1830682472209
Estonia,Central and Eastern Europe,6.189,35632.02175344423,10.481,68.8,0.941,0.909,-0.106,0.527,35.63202175344423
Panama,Latin America and Caribbean,6.18,31257.04281960959,10.35,69.652,0.896,0.872,-0.166,0.856,31.257042819609588
